package,binary,size,wall_time,cpu_user_time,cpu_system_time,outcome
attr,attr_2.4.47-2_amd64.deb,42966,195.853,84.46,56.52,y
base-files,base-files_9.6_amd64.deb,70220,228.431,79.51,49.92,y
base-passwd,base-passwd_3.5.40_amd64.deb,57412,183.354,84.34,55.36,y
debconf,debconf_1.5.59_all.deb,159806,214.79,105.41,59.92,y
debianutils,debianutils_4.8_amd64.deb,99550,134.38,61.58,31.09,y
diffutils,diffutils_3.5-1_amd64.deb,311724,258.668,117.06,75.7,y
dpkg,dpkg_1.18.10.0~reproducible0_amd64.deb,2481474,336.609,192.34,100.9,y
grep,grep_2.25-6_amd64.deb,365940,264.087,134.26,90.05,y
gzip,gzip_1.6-5_amd64.deb,111510,299.793,146.71,93.15,y
sed,sed_4.2.2-8_amd64.deb,242858,190.062,93.01,57.65,y
sysvinit,sysvinit-core_2.88dsf-59.8_amd64.deb,133180,187.994,80.03,53.19,y
pcre3,libpcre3_8.39-2_amd64.deb,336880,302.656,181.94,70.89,y
coreutils,coreutils_8.25-2_amd64.deb,2774490,-1.0,-1.0,-1.0,f
findutils,findutils_4.6.0+git+20160703-2_amd64.deb,616378,-1.0,-1.0,-1.0,f
init-system-helpers,init-system-helpers_1.42_all.deb,42356,-1.0,-1.0,-1.0,f
libselinux,libselinux1_2.5-3_amd64.deb,97542,-1.0,-1.0,-1.0,f
libsepol,libsepol1_2.5-1_amd64.deb,235342,-1.0,-1.0,-1.0,f
lsb,lsb-base_9.20160629_all.deb,27574,-1.0,-1.0,-1.0,f
mawk,mawk_1.3.3-17_amd64.deb,82640,-1.0,-1.0,-1.0,f
pam,libpam0g_1.1.8-3.3_amd64.deb,124884,-1.0,-1.0,-1.0,f
tar,tar_1.29b-1_amd64.deb,752722,-1.0,-1.0,-1.0,f
util-linux,util-linux_2.28.1-1_amd64.deb,935352,-1.0,-1.0,-1.0,f
zlib,zlib1g_1.2.8.dfsg-2_amd64.deb,87574,-1.0,-1.0,-1.0,f
