Peers, depth, bf, round_wall_min, round_wall_max, round_wall_avg, round_wall_dev, round_system_avg, round_user_avg, rate
2, 1, 0, 0.107781, 0.111317, 0.109456, 0.001339, 0.012000, 0.060003, 0.000000
4, 1, 0, 0.109373, 0.112063, 0.110430, 0.000936, 0.012000, 0.080005, 0.000000
8, 1, 0, 0.109714, 0.112092, 0.110723, 0.000801, 0.024001, 0.140008, 0.000000
16, 1, 0, 0.110891, 0.114567, 0.112160, 0.001158, 0.020001, 0.292018, 0.000000
32, 2, 0, 0.113602, 0.117075, 0.115819, 0.000921, 0.032002, 0.564035, 0.000000
64, 4, 0, 0.117740, 0.125777, 0.121277, 0.002237, 0.032002, 1.036064, 0.000000
128, 8, 0, 0.131319, 0.137211, 0.133148, 0.001569, 0.064004, 2.028126, 0.000000
256, 16, 0, 0.155372, 0.190853, 0.168834, 0.011229, 0.132008, 4.360272, 0.000000
512, 32, 0, 0.197721, 0.229393, 0.211155, 0.011126, 0.240015, 8.232514, 0.000000
1024, 64, 0, 0.305224, 0.457782, 0.357817, 0.050497, 0.672042, 16.913057, 0.000000
